Table Name,nz Count,sf Count,Diff1,nz Filter,nz Count with Filter,sf FIlter,sf Count with Filter,Diff2,Dupes in NZ,Dupes in SF,Dupes in NZ with filter,Dupes in SF with,Max Audit ID
HUB_CCY,285,274,11,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,274,,274,0,11,,,,134
HUB_CNTRY,246,246,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,246,,246,0,,,,,134
HUB_CNTY,3250,3250,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,3250,,3250,0,,,,,134
HUB_STATE,4715,4715,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,4715,,4715,0,,,,,134
HUB_AGRMT_CUST_CLASS,25,17,8,WHERE CURRENT_IND <>120 AND ACTV_FLG = 'Y' AND SOR_DEL_DTM IS  NULL,18,,17,1,,,,,134
HUB_ACCT_PERIOD,1828,1828,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,1828,,1828,0,,,,,134
HUB_TIMEZONE,27,27,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,27,,27,0,,,,,134
HUB_PARTY,38975214,38968703,6511,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,38975214,,38968703,6511,,,,,134
HUB_CCY_CONV_RATE_TYPE,16,16,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,16,,16,0,,,,,134
HUB_LOC,98582836,98584466,-1630,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,98582834,,98584466,-1632,2,2,,2,134
HUB_FINCL_LOB,443,363,80,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,363,,363,0,53,,,,134
HUB_OTHER_GEO,22,22,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,22,,22,0,,,,,134
HUB_WM_ORG,23399,23394,5,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,23394,,23394,0,,,,,134
HUB_FINCL_LOB_HIER,529,362,167,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,319,,362,-43,84,,,,134
HUB_ORG_BUS_UNIT,4356,4356,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,4356,,4356,0,,,,,134
HUB_CCY_CONV,3296,3296,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,0,,3296,-3296,,,,,134
HUB_XLAT_FINCL_LOB,181,151,30,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,131,,151,-20,50,,,,134
HUB_XLAT_MAS_LIB_OTHER_GEO,223,222,1,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,131,,222,-91,,,,,134
HUB_FINCL_BUS_UNIT,4004,4356,-352,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,4004,,4356,-352,,,,,134
HUB_AGRMT_VALUE_CHG_RSN,75,75,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,75,,75,0,,,,,
HUB_AGRMT_VALUE_CHG_RSN_TYPE,7,7,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,7,,7,0,,,,,
HUB_POST_CLLCTN_INBND_OUTBND_TYPE,3,3,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,3,,3,0,,,,,
HUB_CUST_CLASS_TYPE,7,7,0,WHERE CURRENT_IND <>120,7,,7,0,,,,,32500009
HUB_NAICS,2931,2931,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,2931,,2931,0,,,,,N/A
HUB_SIC_TO_NAICS,1005,1005,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,1005,,1005,0,N/A,N/A,N/A,N/A,
HUB_AGRMT_PRC_RATE_RESTRICTN_TYPE,15,15,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,10,,15,-5,,,,,
HUB_GL_ACCT,6008,6008,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,6008,,6008,0,,,,,
HUB_SVC_FREQ,20,20,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,20,,20,0,,,,,
HUB_AGRMT_STS,14,14,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,14,,14,0,,,,,134
HUB_ENT_EQPMNT_TYPE,35,35,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,35,,35,0,,,,,138
HUB_ENT_VEHICLE_TYPE,22,22,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,22,,22,0,,,,,138
HUB_OPRTN_LOB,21,21,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,21,,21,0,,,,,134
HUB_ENT_BILL_ADJSTMT_TYPE,2,2,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,2,,2,0,N/A,N/A,N/A,N/A,138
HUB_ENT_MATRL_CLASS,48,48,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,48,,48,0,N/A,N/A,N/A,N/A,138
HUB_ENT_MATRL_STRM,10,10,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,10,,10,0,,,,,138
HUB_ENT_PROD_TYPE,15,15,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,15,,15,0,N/A,N/A,N/A,N/A,138
HUB_ENT_SRCHRG_TYPE,6,6,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,6,,6,0,N/A,N/A,N/A,N/A,138
HUB_ENT_SVC_CTGRY,7,7,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,7,,7,0,N/A,N/A,N/A,N/A,138
HUB_SRC_SYS_SVC,151866,138800,13066,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,151866,,138800,13066,,,,,138
HUB_SVC_LNK_SVC_HIST,213915,27305,186610,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,213520,,27305,186215,15647,,15584,,0
HUB_ENT_EQPMNT,833,833,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,833,,833,0,,,,,138
HUB_ENT_BILL_ADJSTMT,22,22,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,22,,22,0,N/A,N/A,N/A,N/A,138
HUB_ENT_MATRL,239,239,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,239,,239,0,,,,,138
HUB_ENT_SRCHRG,202,202,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,202,,202,0,,,,,138
HUB_ENT_SVC_SUB_CTGRY,128,128,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,128,,128,0,N/A,N/A,N/A,N/A,138
HUB_ENT_PROD,226,226,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,226,,226,0,,,,,138
HUB_UOM_CTGRY,13,13,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,13,,13,0,,,,,138
HUB_INVC,964767233,803099738,161667495,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL AND SRC_SYS_GUID = SQLTOOLKIT..HASH8('MASCDC'),532423471,,803099738,-270676267,420062454,,,,138
HUB_UOM,28,28,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,28,,28,0,,,,,138
HUB_ENT_CTLG,14459,14451,8,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,14459,,14451,8,,,,,138
