Table Name,nz Count,sf Count,Diff1,nz Filter,nz Count with Filter,sf FIlter,sf Count with Filter,Diff2,Dupes in NZ,Dupes in SF,Dupes in NZ with filter,Dupes in SF with,Max Audit ID
AR_ARBAL_ODS,868647487,2806811068,-1938163581,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,0,,2806811068,-2806811068,856578778,2771695702,,2771695702,N/A
AR_AVHST_ODS,315996997,0,315996997,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,0,,0,0,272363611,,,,N/A
AR_AVHST,388535012,388035225,499787,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,388328234,,388035225,293009,337583902,337164418,337399764,337164418,332
AR_SVHST,3288929957,3286869594,2060363,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,3286424806,,3286869594,-444788,3242434685,3240601048,3239961727,3240601048,332
AR_AVXTR,232232947,228332503,3900444,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,232028892,,228332503,3696389,12957917,12728982,12933311,12728982,332
AR_AVXTR_ODS,232016878,0,232016878,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,0,,0,0,197838250,,,,N/A
AR_CSTMR,52662538,107628110,-54965572,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,52602370,,107628110,-55025740,18,54487406,,54487406,N/A
AR_ROSVC,22592967,0,22592967,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,21571326,,0,21571326,15665422,,14942208,,N/A
AR_SVDEF,113068,0,113068,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,112250,,0,112250,64769,,64139,,N/A
AR_SVHST_ODS,2395804605,3269998672,-874194067,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,0,,3269998672,-3269998672,2356862850,3223987779,,3223987779,
AR_TXHSTEX_ODS,2484800670,2484801554,-884,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,0,,2484801554,-2484801554,2465199880,2465200777,,2465200777,N/A
AR_TXHST_STG,3030561476,4488879779,-1458318303,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,3030561476,,4488879779,-1458318303,84860,328771278,84860,328771278,346
XREF_AR_CSTMR,52662538,52598906,63632,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,52602370,,52598906,3464,,,,,344
XREF_AR_SANAL,37119104,37024106,94998,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,37119104,,37024106,94998,,1,,1,346
MAS_SVC_PRC,984911,956610,28301,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,602156,,956610,-354454,7347,2,,2,334
XREF_AR_CSTATR,139149304,135671402,3477902,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,135724284,,135671402,52882,,,,,346
AR_TXHST_ODS,1260848930,4104808783,-2843959853,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,0,,4104808783,-4104808783,1248377760,4066202810,,4066202810,N/A
HUB_CCY,285,274,11,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,274,,274,0,11,,,,344
HUB_CNTRY,246,247,-1,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,246,,247,-1,,,,,344
HUB_CNTY,3250,3250,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,3250,,3250,0,,,,,344
HUB_STATE,4715,4715,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,4715,,4715,0,,5,,5,344
HUB_AGRMT_CUST_CLASS,25,16,9,WHERE CURRENT_IND <>120 AND ACTV_FLG = 'Y' AND SOR_DEL_DTM IS  NULL,17,,16,1,,,,,344
HUB_ACCT_PERIOD,1828,1828,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,1828,,1828,0,,,,,344
HUB_TIMEZONE,27,27,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,27,,27,0,,,,,344
