Table Name,nz Count,sf Count,Diff1,nz Filter,nz Count with Filter,sf FIlter,sf Count with Filter,Diff2,Dupes in NZ,Dupes in SF,Dupes in NZ with filter,Dupes in SF with,Max Audit ID
AR_ARBAL_ODS,864022053,2711544696,-1847522643,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,0,,2711544696,-2711544696,851998635,2677300136,,2677300136,N/A
AR_AVHST_ODS,378284523,0,378284523,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,0,,0,0,328736473,,,,N/A
AR_AVXTR,224496596,224494413,2183,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,224292541,,224494413,-201872,12809714,12752565,12784598,12752565,188
AR_AVXTR_ODS,226116632,0,226116632,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,0,,0,0,192427779,,,,N/A
AR_CSTMR,52261407,54228620,-1967213,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,52201239,,54228620,-2027381,18,1764420,,1764420,N/A
AR_ROSVC,22592967,0,22592967,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,21571326,,0,21571326,15665422,,14942208,,N/A
AR_SVDEF,112301,0,112301,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,111482,,0,111482,65310,,64676,,N/A
AR_SVHST_ODS,3099944457,3100355278,-410821,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,0,,3100355278,-3100355278,3054261458,3054567158,,3054567158,
AR_TXHSTEX_ODS,2443281850,2443240513,41337,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,0,,2443240513,-2443240513,2423899121,2423857962,,2423857962,N/A
AR_TXHST_STG,2988662947,4070684109,-1082021162,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,2988662947,,4070684109,-1082021162,84860,768802,84860,768802,178
XREF_AR_CSTMR,52261407,52200928,60479,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,52201239,,52200928,311,,,,,186
XREF_AR_SANAL,36736431,36727814,8617,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,36736431,,36727814,8617,,1,,1,188
AR_TXHST_ODS,1260527426,4070694441,-2810167015,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,0,,4070694441,-4070694441,1248112501,4032258182,,4032258182,N/A
HUB_CCY,285,274,11,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,274,,274,0,11,,,,186
HUB_CNTRY,246,247,-1,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,246,,247,-1,,,,,186
HUB_CNTY,3250,3250,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,3250,,3250,0,,,,,186
HUB_STATE,4715,4715,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,4715,,4715,0,,5,,5,186
HUB_AGRMT_CUST_CLASS,25,17,8,WHERE CURRENT_IND <>120 AND ACTV_FLG = 'Y' AND SOR_DEL_DTM IS  NULL,18,,17,1,,,,,186
HUB_ACCT_PERIOD,1828,1828,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,1828,,1828,0,,,,,186
HUB_TIMEZONE,27,27,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,27,,27,0,,,,,186
HUB_PARTY,39546013,39550185,-4172,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,39546013,,39550185,-4172,,,,,186
HUB_CCY_CONV_RATE_TYPE,16,16,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,16,,16,0,,,,,186
HUB_LOC,100044732,100054091,-9359,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,100044730,,100054091,-9361,2,2,,2,186
HUB_FINCL_LOB,443,363,80,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,363,,363,0,53,,,,186
HUB_OTHER_GEO,22,22,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,22,,22,0,,,,,186
HUB_WM_ORG,23444,23439,5,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,23439,,23439,0,,,,,186
HUB_FINCL_LOB_HIER,529,362,167,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,319,,362,-43,84,,,,186
HUB_ORG_BUS_UNIT,4362,4362,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,4362,,4362,0,,,,,186
HUB_CCY_CONV,3308,3304,4,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,0,,3304,-3304,,,,,186
HUB_XLAT_FINCL_LOB,181,151,30,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,131,,151,-20,50,,,,186
HUB_XLAT_MAS_LIB_OTHER_GEO,223,223,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,131,,223,-92,,1,,1,186
HUB_FINCL_BUS_UNIT,4004,4362,-358,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,4004,,4362,-358,,,,,186
HUB_AGRMT_VALUE_CHG_RSN,75,75,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,75,,75,0,,,,,
HUB_AGRMT_VALUE_CHG_RSN_TYPE,7,7,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,7,,7,0,,,,,
HUB_POST_CLLCTN_INBND_OUTBND_TYPE,3,3,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,3,,3,0,,,,,N/A
HUB_CUST_CLASS_TYPE,7,7,0,WHERE CURRENT_IND <>120,7,,7,0,,,,,32500009
HUB_NAICS,2931,2931,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,2931,,2931,0,,,,,N/A
HUB_SIC_TO_NAICS,1005,1005,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,1005,,1005,0,N/A,N/A,N/A,N/A,
HUB_AGRMT_PRC_RATE_RESTRICTN_TYPE,15,15,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,10,,15,-5,,,,,
HUB_GL_ACCT,6008,6008,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,6008,,6008,0,,,,,
HUB_SVC_FREQ,20,20,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,20,,20,0,,,,,
HUB_AGRMT_STS,14,14,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,14,,14,0,,,,,186
HUB_ENT_EQPMNT_TYPE,35,35,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,35,,35,0,,,,,190
HUB_ENT_VEHICLE_TYPE,22,22,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,22,,22,0,,,,,190
HUB_OPRTN_LOB,21,21,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,21,,21,0,,,,,186
HUB_ENT_BILL_ADJSTMT_TYPE,2,2,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,2,,2,0,N/A,N/A,N/A,N/A,190
HUB_ENT_MATRL_CLASS,48,48,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,48,,48,0,N/A,N/A,N/A,N/A,190
HUB_ENT_MATRL_STRM,10,10,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,10,,10,0,,,,,190
HUB_ENT_PROD_TYPE,15,15,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,15,,15,0,N/A,N/A,N/A,N/A,190
HUB_ENT_SRCHRG_TYPE,6,6,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,6,,6,0,N/A,N/A,N/A,N/A,190
HUB_ENT_SVC_CTGRY,7,7,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,7,,7,0,N/A,N/A,N/A,N/A,190
HUB_SRC_SYS_SVC,151991,138916,13075,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,151991,,138916,13075,,,,,190
HUB_SVC_LNK_SVC_HIST,213919,27306,186613,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,213524,,27306,186218,15648,,15585,,164
HUB_ENT_EQPMNT,840,840,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,840,,840,0,,,,,190
HUB_ENT_BILL_ADJSTMT,22,22,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,22,,22,0,N/A,N/A,N/A,N/A,190
HUB_ENT_MATRL,240,241,-1,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,240,,241,-1,,,,,190
HUB_ENT_SRCHRG,203,203,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,203,,203,0,,,,,190
HUB_ENT_SVC_SUB_CTGRY,128,129,-1,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,128,,129,-1,N/A,N/A,N/A,N/A,190
HUB_ENT_PROD,226,226,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,226,,226,0,,,,,190
HUB_UOM_CTGRY,13,13,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,13,,13,0,,,,,190
HUB_INVC,978448315,809157198,169291117,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL AND SRC_SYS_GUID = SQLTOOLKIT..HASH8('MASCDC'),538972017,,809157198,-270185181,427111534,,,,180
HUB_UOM,28,28,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,28,,28,0,,,,,190
HUB_ENT_CTLG,14473,14465,8,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,14473,,14465,8,,,,,190
HUB_SVC_PRC_HIST,7268628,910017,6358611,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,5903317,,910017,4993300,,2,,2,190
HUB_AGRMT_PRC_RATE_RESTRICTN,51190823,52200928,-1010105,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,51143146,,52200928,-1057782,,,,,190
HUB_XLAT_BILL_CTLG,59975,39687,20288,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,59972,,39687,20285,3,,,,190
HUB_AGRMT_VALUE_CHG_HIST,466294937,59196551,407098386,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL AND SRC_SYS_GUID = SQLTOOLKIT..HASH8('MASCDC'),331966066,,59196551,272769515,34,8160483,,8160483,190
HUB_INVC_LN_ITEM_DTL,4365984778,3113595383,1252389395,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL AND SRC_SYS_GUID = SQLTOOLKIT..HASH8('MASCDC'),3003793884,,3113595383,-109801499,919483944,,223,,180
HUB_AGRMT_LN_ITEM_VALUE_CHG_HIST,2910451491,234019443,2676432048,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL AND SRC_SYS_GUID = SQLTOOLKIT..HASH8('MASCDC'),2907564192,,234019443,2673544749,1068731,,,,190
XREF_AR_CSTMR,52261407,52200928,60479,,52261407,,52200928,60479,,,,,186
HUB_AGRMT_LN_ITEM,175176053,136156557,39019496,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL AND SRC_SYS_GUID = SQLTOOLKIT..HASH8('MASCDC'),136039658,,136156557,-116899,651875,,,,190
HUB_PARTY_LOC,79045884,77756448,1289436,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,79045882,,77756448,1289434,2,,,,N/A
DIM_REVENUE_TYPE,19,20,-1,WHERE CURRENT_IND <>120,19,,20,-1,N/A,N/A,N/A,N/A,N/A
DIM_DT_MNTH,3605,3600,5,WHERE CURRENT_IND <>120,3605,,3600,5,N/A,N/A,N/A,N/A,8000014
DIM_PRSNL,789995,755630,34365,WHERE CURRENT_IND <>120,789995,,755630,34365,,,,,N/A
DIM_EXCLUSION,570,563,7,WHERE CURRENT_IND <>120,570,,563,7,,,,,0
DIM_PRSNL_HIST,3548241,755588,2792653,WHERE CURRENT_IND <>120,3548241,,755588,2792653,,26,,26,
DIM_NAICS,2938,2937,1,WHERE CURRENT_IND <>120,2938,,2937,1,,,,,192
DIM_SIC,1012,1011,1,WHERE CURRENT_IND <>120,1012,,1011,1,,,,,192
DIM_SRC_SYS_SVC,151992,138916,13076,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL ,151992,,138916,13076,N/A,N/A,N/A,N/A,192
DIM_SRC_SYS,48,48,0,WHERE CURRENT_IND <>120,48,,48,0,,1,,1,0
DIM_PARTY,39546013,39550185,-4172,WHERE CURRENT_IND <>120,39546013,,39550185,-4172,,,,,192
DIM_STATE,4705,4721,-16,WHERE CURRENT_IND <>120,4705,,4721,-16,,5,,5,192
DIM_CCY,256,257,-1,WHERE CURRENT_IND <>120,256,,257,-1,,,,,192
DIM_RATE_TYPE,13,13,0,WHERE CURRENT_IND <>120,13,,13,0,,,,,
DIM_UOM,35,34,1,WHERE CURRENT_IND <>120,35,,34,1,,,,,N/A
DIM_FINCL_LOB,453,396,57,WHERE CURRENT_IND <>120,397,,396,1,56,,,,24400821
DIM_PARTY_HIST,50757713,42076855,8680858,WHERE CURRENT_IND <>120,50757713,,42076855,8680858,,1263335,,1263335,192
DIM_SALES_ANALYSIS_LOB,15,14,1,WHERE CURRENT_IND <>120,15,,14,1,,,,,192
DIM_SVC_PRC_HIST,7268628,910017,6358611,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL AND CUR_REC_FLG = 'Y',801085,,910017,-108932,,2,,2,192
SRC_DIM_MASCDC_AGRMT_R2,51755359,51526334,229025,WHERE CURRENT_IND <>120,51355372,,51526334,-170962,N/A,N/A,N/A,N/A,192
DIM_AGRMT_VALUE_CHG_HIST,466295349,59194062,407101287,WHERE CURRENT_IND <>120,466295349,,59194062,407101287,,8157994,,8157994,192
FCT_P3_AGRMT_VALUE_DTL,4614490648,4763677325,-149186677,WHERE CURRENT_IND <>120 AND DIM_SRC_SYS_GUID = SQLTOOLKIT..HASH8('MASCDC'),4614490647,,4763677325,-149186678,1,,,,0
FCT_P3_REVENUE_TYPE_CORP_RATE,2232,2222,10,WHERE CURRENT_IND <>120,2232,,2222,10,,,,,182
FCT_ENT_CTLG_REVENUE_TYPE,14464,14456,8,WHERE CURRENT_IND <> 120 AND CUR_REC_FLG = 'Y' ,14464,,14456,8,,,,,182
FCT_P3_REVENUE_TYPE_TRGT,6588,6588,0,WHERE CURRENT_IND <>120,6588,,6588,0,,,,,182
FCT_P3_AGRMT_LN_ITEM_VALUE_CHG_HIST,2909207258,317921923,2591285335,WHERE CURRENT_IND <>120 AND DIM_SRC_SYS_GUID = SQLTOOLKIT..HASH8('MASCDC'),2909207258,,317921923,2591285335,,83902534,,83902534,192
FCT_P3_RB_AGRMT_LN_ITEM_MNTH_AGG,46665797,46357831,307966,WHERE CURRENT_IND <>120,46596806,,46357831,238975,68991,16188,,16188,0
FCT_P3_AGRMT_LN_ITEM_INVC_AGG,3625206492,3716969214,-91762722,WHERE CURRENT_IND <>120,3625206492,,3716969214,-91762722,,,,,0
P3_AGRMT_CANCEL_AUDIT,104862978,36337722,68525256,WHERE CURRENT_IND <>120 AND P3_AGRMT_STS_CD = 'CANCELLED',104862978,,36337722,68525256,77019579,18693296,77019579,18693296,192
FCT_P3_PI_AGRMT_LN_ITEM_MNTH_AGG,945367577,940061227,5306350,WHERE CURRENT_IND <>120,945314456,,940061227,5253229,53121,53024,,53024,150
FCT_P3_PI_OPP_AGRMT_LN_ITEM_MNTH_AGG,18733396,19379267,-645871,WHERE CURRENT_IND <>120,18730147,,19379267,-649120,3249,3946,,3946,182
FCT_P3_RB_AGRMT_MNTH_AGG,3476331,3476506,-175,WHERE CURRENT_IND <>120,3476010,,3476506,-496,321,626,,626,0
FCT_P3_RTOLS_RB_RECUR_EFF_MNTH_AGG,7826700,8204483,-377783,WHERE CURRENT_IND <>120,7826700,,8204483,-377783,1536774,1547450,1536774,1547450,150
FCT_P3_RB_RECUR_EFF_AGRMT_MNTH_AGG,37987450,38517351,-529901,WHERE CURRENT_IND <>120,37987450,,38517351,-529901,238279,247204,238279,247204,150
FCT_P3_RTOLS_PI_RECUR_EFF_MNTH_AGG,50795313,56963371,-6168058,WHERE CURRENT_IND <>120,50795313,,56963371,-6168058,12951963,13006775,12951963,13006775,0
FCT_P3_PI_AGRMT_MNTH_AGG,82880045,60772868,22107177,WHERE CURRENT_IND <>120,82879635,,60772868,22106767,410,914,,914,182
FCT_P3_PI_OPP_AGRMT_MNTH_AGG,5827617,6957483,-1129866,WHERE CURRENT_IND <>120,5827617,,6957483,-1129866,,,,,182
FCT_P3_PI_RECUR_EFF_AGRMT_MNTH_AGG,907435565,906633226,802339,WHERE CURRENT_IND <>120,907435565,,906633226,802339,7732835,7746087,7732835,7746087,0
FCT_P3_PI_RECUR_EFF_AGRMT_LN_ITEM_MNTH_AGG,1075861569,1074502791,1358778,WHERE CURRENT_IND <>120,1075861569,,1074502791,1358778,15105,9306,15105,9306,0
FCT_P3_RB_RECUR_EFF_AGRMT_LN_ITEM_MNTH_AGG,44812549,45316233,-503684,WHERE CURRENT_IND <>120,44812549,,45316233,-503684,109730,11839,109730,11839,150
FCT_P3_MNTH_RTOLRV_AGG,5179507,5079136,100371,WHERE CURRENT_IND <>120,5179507,,5079136,100371,,,,,182
PVW_ORG_BUS_UNIT,N/A,N/A,N/A,WHERE CURRENT_IND <>120,4367,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PVW_P3_PRSNL_CUR_SUPR,1269527,754540,514987,WHERE CURRENT_IND <>120,1269527,,754540,514987,,,,,0
PVW_FCT_P3_AGRMT_VALUE_DTL_APPLIED_RATE,3446576793,3408429499,38147294,WHERE CURRENT_IND <>120,3446482615,,3408429499,38053116,94178,,,,0
PVW_FCT_P3_RB_AGRMT_LN_ITEM_MNTH_AGG,46653290,46357831,295459,WHERE CURRENT_IND <>120,N/A,,46357831,N/A,44006975,43717958,N/A,N/A,0
PVW_FCT_P3_RTOLS_RB_RECUR_EFF_MNTH_AGG,7621638,7969901,-348263,WHERE CURRENT_IND <>120,N/A,,7969901,N/A,7621620,7969885,N/A,N/A,0
PVW_FCT_P3_PI_OPP_AGRMT_LN_ITEM_MNTH_AGG,18730150,19379266,-649116,WHERE CURRENT_IND <>120,N/A,,19379266,N/A,10498126,10728664,N/A,N/A,0
PVW_FCT_P3_RB_AGRMT_MNTH_AGG,3476032,4064976,-588944,WHERE CURRENT_IND <>120,N/A,,4064976,N/A,1193411,1786346,N/A,N/A,0
PVW_FCT_P3_RB_RECUR_EFF_AGRMT_MNTH_AGG,36837354,37359456,-522102,WHERE CURRENT_IND <>120,N/A,,37359456,N/A,34645147,35126506,N/A,N/A,0
PVW_FCT_P3_PI_AGRMT_LN_ITEM_MNTH_AGG,876078340,871974064,4104276,WHERE CURRENT_IND <>120,N/A,,871974064,N/A,861703598,857680986,N/A,N/A,0
PVW_FCT_P3_RTOLS_PI_RECUR_EFF_MNTH_AGG,36372990,41424442,-5051452,WHERE CURRENT_IND <>120,N/A,,41424442,N/A,36372970,41424426,N/A,N/A,0
PVW_FCT_P3_PI_AGRMT_MNTH_AGG,62443462,45105956,17337506,WHERE CURRENT_IND <>120,N/A,,45105956,N/A,49025877,32998754,N/A,N/A,
PVW_FCT_P3_PI_OPP_AGRMT_MNTH_AGG,5827618,6957483,-1129865,WHERE CURRENT_IND <>120,N/A,,6957483,N/A,13,,N/A,N/A,0
PVW_FCT_P3_PI_RECUR_EFF_AGRMT_MNTH_AGG,632714456,634502345,-1787889,WHERE CURRENT_IND <>120,N/A,,634502345,N/A,620150901,621860284,N/A,N/A,0
PVW_FCT_P3_CSTMR_FEE_CMPLNC_AGG,1606399340,1311488647,294910693,WHERE CURRENT_IND <>120,65597873,,1311488647,-1245890774,1540801467,1249883786,,1249883786,0
PVW_FCT_P3_CSTMR_FEE_CMPLNC,3394123080,2795557165,598565915,WHERE CURRENT_IND <>120,3394123080,,2795557165,598565915,,,,,150
