Table Name,nz Count,sf Count,Diff1,nz Filter,nz Count with Filter,sf FIlter,sf Count with Filter,Diff2,Dupes in NZ,Dupes in SF,Dupes in NZ with filter,Dupes in SF with,Max Audit ID
AR_ARBAL_ODS,864022053,2711544696,-1847522643,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,0,,2711544696,-2711544696,851998635,2677300136,,2677300136,N/A
AR_AVHST_ODS,382972992,0,382972992,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,0,,0,0,332446391,,,,N/A
AR_AVHST,382936339,382094356,841983,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,382729561,,382094356,635205,N/A,N/A,N/A,N/A,194
AR_SVHST,3109784516,3093887219,15897297,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,3107279365,,3093887219,13392146,N/A,N/A,N/A,N/A,194
AR_AVXTR,226634269,222791630,3842639,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,226430214,,222791630,3638584,12916974,12690244,12892368,12690244,194
AR_AVXTR_ODS,226427237,0,226427237,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,0,,0,0,192639749,,,,N/A
AR_CSTMR,52269415,54228620,-1959205,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,52209247,,54228620,-2019373,18,1764420,,1764420,N/A
AR_ROSVC,22592967,0,22592967,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,21571326,,0,21571326,15665422,,14942208,,N/A
AR_SVDEF,112330,0,112330,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,111511,,0,111511,65145,,64511,,N/A
AR_SVHST_ODS,3102937374,0,3102937374,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,0,,0,0,3057141525,,,,
AR_TXHSTEX_ODS,2443281850,2443240513,41337,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,0,,2443240513,-2443240513,2423899121,2423857962,,2423857962,N/A
XREF_AR_CSTMR,52269415,52200928,68487,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,52209247,,52200928,8319,,,,,186
MAS_SVC_PRC,982943,910016,72927,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,600669,,910016,-309347,N/A,N/A,N/A,N/A,196
XREF_AR_CSTATR,137894580,134548920,3345660,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,134533213,,134548920,-15707,N/A,N/A,N/A,N/A,194
XREF_AR_SANAL,36743604,36727817,15787,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,36743604,,36727817,15787,,1,,1,194
HUB_CCY,285,274,11,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,274,,274,0,11,,,,186
HUB_CNTRY,246,247,-1,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,246,,247,-1,,,,,186
HUB_CNTY,3250,3250,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,3250,,3250,0,,,,,186
HUB_STATE,4715,4715,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,4715,,4715,0,,5,,5,186
HUB_AGRMT_CUST_CLASS,25,17,8,WHERE CURRENT_IND <>120 AND ACTV_FLG = 'Y' AND SOR_DEL_DTM IS  NULL,18,,17,1,,,,,186
HUB_ACCT_PERIOD,1828,1828,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,1828,,1828,0,,,,,186
HUB_TIMEZONE,27,27,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,27,,27,0,,,,,186
HUB_PARTY,39553315,39550185,3130,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,39553315,,39550185,3130,,,,,186
HUB_CCY_CONV_RATE_TYPE,16,16,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,16,,16,0,,,,,186
HUB_LOC,100062217,100054091,8126,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,100062215,,100054091,8124,2,2,,2,186
HUB_FINCL_LOB,443,363,80,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,363,,363,0,53,,,,186
HUB_OTHER_GEO,22,22,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,22,,22,0,,,,,186
HUB_WM_ORG,23444,23439,5,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,23439,,23439,0,,,,,186
HUB_FINCL_LOB_HIER,529,362,167,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,319,,362,-43,84,,,,186
HUB_ORG_BUS_UNIT,4362,4362,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,4362,,4362,0,,,,,186
HUB_CCY_CONV,3308,3304,4,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,0,,3304,-3304,,,,,186
HUB_XLAT_FINCL_LOB,181,151,30,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,131,,151,-20,50,,,,186
HUB_XLAT_MAS_LIB_OTHER_GEO,223,223,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,131,,223,-92,,1,,1,186
HUB_FINCL_BUS_UNIT,4004,4362,-358,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,4004,,4362,-358,,,,,186
HUB_AGRMT_VALUE_CHG_RSN,75,75,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,75,,75,0,,,,,
HUB_AGRMT_VALUE_CHG_RSN_TYPE,7,7,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,7,,7,0,,,,,
HUB_POST_CLLCTN_INBND_OUTBND_TYPE,3,3,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,3,,3,0,,,,,N/A
HUB_CUST_CLASS_TYPE,7,7,0,WHERE CURRENT_IND <>120,7,,7,0,,,,,32500009
HUB_NAICS,2931,2931,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,2931,,2931,0,,,,,N/A
HUB_SIC_TO_NAICS,1005,1005,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,1005,,1005,0,N/A,N/A,N/A,N/A,
HUB_AGRMT_PRC_RATE_RESTRICTN_TYPE,15,15,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,10,,15,-5,,,,,
HUB_GL_ACCT,6008,6008,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,6008,,6008,0,,,,,
HUB_SVC_FREQ,20,20,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,20,,20,0,,,,,
