Table Name,nz Count,sf Count,Diff1,nz Filter,nz Count with Filter,sf FIlter,sf Count with Filter,Diff2,Dupes in NZ,Dupes in SF,Dupes in NZ with filter,Dupes in SF with,Max Audit ID
DIM_REVENUE_TYPE,19,20,-1,WHERE CURRENT_IND <>120,19,,20,-1,N/A,N/A,N/A,N/A,N/A
DIM_DT_MNTH,3605,3600,5,WHERE CURRENT_IND <>120,3605,,3600,5,N/A,N/A,N/A,N/A,8000014
DIM_PRSNL,784480,637490,146990,WHERE CURRENT_IND <>120,784480,,637490,146990,,,,,N/A
DIM_EXCLUSION,570,563,7,WHERE CURRENT_IND <>120,570,,563,7,,,,,0
DIM_PRSNL_HIST,2453523,0,2453523,WHERE CURRENT_IND <>120,2453523,,0,2453523,,,,,
DIM_NAICS,2938,2937,1,WHERE CURRENT_IND <>120,2938,,2937,1,,,,,166
DIM_SIC,1012,1011,1,WHERE CURRENT_IND <>120,1012,,1011,1,,,,,166
DIM_SRC_SYS_SVC,151922,138910,13012,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL ,151922,,138910,13012,N/A,N/A,N/A,N/A,166
DIM_SRC_SYS,48,0,48,WHERE CURRENT_IND <>120,48,,0,48,,,,,
DIM_PARTY,39015574,38981066,34508,WHERE CURRENT_IND <>120,39015574,,38981066,34508,,,,,166
DIM_STATE,4705,4721,-16,WHERE CURRENT_IND <>120,4705,,4721,-16,,,,,166
DIM_CCY,256,6,250,WHERE CURRENT_IND <>120,256,,6,250,,,,,0
DIM_RATE_TYPE,13,0,13,WHERE CURRENT_IND <>120,13,,0,13,,,,,
DIM_UOM,35,34,1,WHERE CURRENT_IND <>120,35,,34,1,,,,,N/A
DIM_FINCL_LOB,453,396,57,WHERE CURRENT_IND <>120,397,,396,1,56,,,,24400821
DIM_PARTY_HIST,50143203,38981066,11162137,WHERE CURRENT_IND <>120,50143203,,38981066,11162137,,38981065,,38981065,166
DIM_SALES_ANALYSIS_LOB,15,14,1,WHERE CURRENT_IND <>120,15,,14,1,,,,,166
DIM_SVC_PRC_HIST,7263939,923227,6340712,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL AND CUR_REC_FLG = 'Y',800960,,923227,-122267,,2,,2,166
SRC_DIM_MASCDC_AGRMT_R2,51409417,51135965,273452,WHERE CURRENT_IND <>120,51009430,,51135965,-126535,N/A,N/A,N/A,N/A,166
DIM_AGRMT_VALUE_CHG_HIST,464317244,416636274,47680970,WHERE CURRENT_IND <>120,464317244,,416636274,47680970,,10,,10,166
