Table Name,nz Count,sf Count,Diff1,nz Filter,nz Count with Filter,sf FIlter,sf Count with Filter,Diff2,Dupes in NZ,Dupes in SF,Dupes in NZ with filter,Dupes in SF with,Max Audit ID
AR_ARBAL_ODS,862058131,2760392955,-1898334824,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,0,,2760392955,-2760392955,850091671,2725591048,,2725591048,N/A
AR_AVHST_ODS,379200468,0,379200468,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,0,,0,0,329250464,,,,N/A
AR_AVXTR,223119463,222227435,892028,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,222915408,,222227435,687973,12741915,12607969,12716799,12607969,
AR_AVXTR_ODS,222735398,0,222735398,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,0,,0,0,189565474,,,,N/A
AR_CSTMR,51867183,51806845,60338,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,51807015,,51806845,170,18,,,,N/A
AR_ROSVC,22592967,0,22592967,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,21571326,,0,21571326,15665422,,14942208,,N/A
AR_SVDEF,112245,0,112245,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,111426,,0,111426,65266,,64632,,N/A
AR_SVHST_ODS,3047272804,3051049828,-3777024,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,0,,3051049828,-3051049828,3002057282,3005662096,,3005662096,
AR_TXHSTEX_ODS,2403815776,2422855950,-19040174,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,0,,2422855950,-2422855950,2384625681,2403594641,,2403594641,N/A
AR_TXHST_STG,2948852603,4050088471,-1101235868,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,2948852603,,4050088471,-1101235868,84860,768802,84860,768802,162
XREF_AR_CSTMR,51867183,51806845,60338,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,51807015,,51806845,170,,,,,160
XREF_AR_SANAL,36375091,36367490,7601,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,36375091,,36367490,7601,,1,,1,162
AR_TXHST_ODS,1264499202,4050098797,-2785599595,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,0,,4050098797,-4050098797,1252118628,4011788213,,4011788213,N/A
HUB_CCY,285,274,11,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,274,,274,0,11,,,,160
HUB_CNTRY,246,246,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,246,,246,0,,,,,160
HUB_CNTY,3250,3250,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,3250,,3250,0,,,,,160
HUB_STATE,4715,4715,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,4715,,4715,0,,,,,160
HUB_AGRMT_CUST_CLASS,25,17,8,WHERE CURRENT_IND <>120 AND ACTV_FLG = 'Y' AND SOR_DEL_DTM IS  NULL,18,,17,1,,,,,160
HUB_ACCT_PERIOD,1828,1828,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,1828,,1828,0,,,,,160
HUB_TIMEZONE,27,27,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,27,,27,0,,,,,160
HUB_PARTY,39015574,38981066,34508,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,39015574,,38981066,34508,,,,,160
HUB_CCY_CONV_RATE_TYPE,16,16,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,16,,16,0,,,,,160
HUB_LOC,98682030,98683641,-1611,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,98682028,,98683641,-1613,2,2,,2,160
HUB_FINCL_LOB,443,363,80,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,363,,363,0,53,,,,160
HUB_OTHER_GEO,22,22,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,22,,22,0,,,,,160
HUB_WM_ORG,23421,23416,5,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,23416,,23416,0,,,,,160
HUB_FINCL_LOB_HIER,529,362,167,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,319,,362,-43,84,,,,160
HUB_ORG_BUS_UNIT,4358,4358,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,4358,,4358,0,,,,,160
HUB_CCY_CONV,3300,3300,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,0,,3300,-3300,,,,,160
HUB_XLAT_FINCL_LOB,181,151,30,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,131,,151,-20,50,,,,160
HUB_XLAT_MAS_LIB_OTHER_GEO,223,222,1,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,131,,222,-91,,,,,160
HUB_FINCL_BUS_UNIT,4004,4358,-354,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,4004,,4358,-354,,,,,160
HUB_AGRMT_VALUE_CHG_RSN,75,75,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,75,,75,0,,,,,
HUB_AGRMT_VALUE_CHG_RSN_TYPE,7,7,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,7,,7,0,,,,,
HUB_POST_CLLCTN_INBND_OUTBND_TYPE,3,3,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,3,,3,0,,,,,N/A
HUB_CUST_CLASS_TYPE,7,7,0,WHERE CURRENT_IND <>120,7,,7,0,,,,,32500009
HUB_NAICS,2931,2931,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,2931,,2931,0,,,,,N/A
HUB_SIC_TO_NAICS,1005,1005,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,1005,,1005,0,N/A,N/A,N/A,N/A,
HUB_AGRMT_PRC_RATE_RESTRICTN_TYPE,15,15,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,10,,15,-5,,,,,
HUB_GL_ACCT,6008,0,6008,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,6008,,0,6008,,,,,
HUB_SVC_FREQ,20,20,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,20,,20,0,,,,,
HUB_AGRMT_STS,14,14,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,14,,14,0,,,,,160
HUB_ENT_EQPMNT_TYPE,35,35,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,35,,35,0,,,,,164
HUB_ENT_VEHICLE_TYPE,22,22,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,22,,22,0,,,,,164
HUB_OPRTN_LOB,21,21,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,21,,21,0,,,,,160
HUB_ENT_BILL_ADJSTMT_TYPE,2,2,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,2,,2,0,N/A,N/A,N/A,N/A,164
HUB_ENT_MATRL_CLASS,48,48,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,48,,48,0,N/A,N/A,N/A,N/A,164
HUB_ENT_MATRL_STRM,10,10,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,10,,10,0,,,,,164
HUB_ENT_PROD_TYPE,15,15,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,15,,15,0,N/A,N/A,N/A,N/A,164
HUB_ENT_SRCHRG_TYPE,6,6,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,6,,6,0,N/A,N/A,N/A,N/A,164
HUB_ENT_SVC_CTGRY,7,7,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,7,,7,0,N/A,N/A,N/A,N/A,164
HUB_SRC_SYS_SVC,151921,138910,13011,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,151921,,138910,13011,,,,,164
HUB_SVC_LNK_SVC_HIST,213918,27306,186612,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,213523,,27306,186217,15647,,15584,,164
HUB_ENT_EQPMNT,835,835,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,835,,835,0,,,,,164
HUB_ENT_BILL_ADJSTMT,22,22,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,22,,22,0,N/A,N/A,N/A,N/A,164
HUB_ENT_MATRL,239,239,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,239,,239,0,,,,,164
HUB_ENT_SRCHRG,203,203,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,203,,203,0,,,,,164
HUB_ENT_SVC_SUB_CTGRY,128,129,-1,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,128,,129,-1,N/A,N/A,N/A,N/A,164
HUB_ENT_PROD,226,226,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,226,,226,0,,,,,164
HUB_UOM_CTGRY,13,13,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,13,,13,0,,,,,164
HUB_INVC,968016795,805678431,162338364,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL AND SRC_SYS_GUID = SQLTOOLKIT..HASH8('MASCDC'),532423471,,805678431,-273254960,423278114,,,,164
HUB_UOM,28,28,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,28,,28,0,,,,,164
HUB_ENT_CTLG,14464,14456,8,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,14464,,14456,8,,,,,164
HUB_SVC_PRC_HIST,7267812,923227,6344585,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,5902507,,923227,4979280,,2,,2,164
HUB_AGRMT_PRC_RATE_RESTRICTN,50849420,51806568,-957148,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,50801743,,51806568,-1004825,,,,,164
HUB_XLAT_BILL_CTLG,59879,39591,20288,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,59876,,39591,20285,3,,,,164
HUB_AGRMT_VALUE_CHG_HIST,464261569,416636274,47625295,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL AND SRC_SYS_GUID = SQLTOOLKIT..HASH8('MASCDC'),330549489,,416636274,-86086785,34,10,,10,164
HUB_INVC_LN_ITEM_DTL,4316766320,3094214711,1222551609,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL AND SRC_SYS_GUID = SQLTOOLKIT..HASH8('MASCDC'),2966421574,,3094214711,-127793137,911190130,,223,,164
HUB_AGRMT_LN_ITEM_VALUE_CHG_HIST,2888525094,3023909766,-135384672,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL AND SRC_SYS_GUID = SQLTOOLKIT..HASH8('MASCDC'),2885637969,,3023909766,-138271797,1068565,,,,164
XREF_AR_CSTMR,51867183,51806845,60338,,51867183,,51806845,60338,,,,,160
HUB_AGRMT_LN_ITEM,173863987,135734416,38129571,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL AND SRC_SYS_GUID = SQLTOOLKIT..HASH8('MASCDC'),135734194,,135734416,-222,603237,,,,164
HUB_PARTY_LOC,77937784,77756448,181336,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,77937782,,77756448,181334,2,,,,N/A
