Table Name,nz Count,sf Count,Diff1,nz Filter,nz Count with Filter,sf FIlter,sf Count with Filter,Diff2,Dupes in NZ,Dupes in SF,Dupes in NZ with filter,Dupes in SF with,Max Audit ID
PVW_ORG_BUS_UNIT,N/A,N/A,N/A,WHERE CURRENT_IND <>120,4363,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PVW_P3_PRSNL_CUR_SUPR,1263757,637256,626501,WHERE CURRENT_IND <>120,1263757,,637256,626501,,,,,150
PVW_FCT_P3_AGRMT_VALUE_DTL_APPLIED_RATE,3394396921,3426304199,-31907278,WHERE CURRENT_IND <>120,3394302743,,3426304199,-32001456,94178,22,,22,150
PVW_FCT_P3_RB_AGRMT_LN_ITEM_MNTH_AGG,45764133,45497815,266318,WHERE CURRENT_IND <>120,N/A,,45497815,N/A,43138010,42871552,N/A,N/A,150
PVW_FCT_P3_RTOLS_RB_RECUR_EFF_MNTH_AGG,7541582,3194513,4347069,WHERE CURRENT_IND <>120,N/A,,3194513,N/A,7541564,3194494,N/A,N/A,150
PVW_FCT_P3_PI_OPP_AGRMT_LN_ITEM_MNTH_AGG,18481320,10319282,8162038,WHERE CURRENT_IND <>120,N/A,,10319282,N/A,10177759,5571048,N/A,N/A,150
PVW_FCT_P3_RB_AGRMT_MNTH_AGG,3439146,2255807,1183339,WHERE CURRENT_IND <>120,N/A,,2255807,N/A,1175564,637031,N/A,N/A,150
PVW_FCT_P3_RB_RECUR_EFF_AGRMT_MNTH_AGG,36417994,8800438,27617556,WHERE CURRENT_IND <>120,N/A,,8800438,N/A,34244204,8161806,N/A,N/A,0
PVW_FCT_P3_PI_AGRMT_LN_ITEM_MNTH_AGG,820727270,986549466,-165822196,WHERE CURRENT_IND <>120,N/A,,986549466,N/A,806665523,971391545,N/A,N/A,150
PVW_FCT_P3_RTOLS_PI_RECUR_EFF_MNTH_AGG,35659243,15391598,20267645,WHERE CURRENT_IND <>120,N/A,,15391598,N/A,35659223,15391579,N/A,N/A,150
PVW_FCT_P3_PI_AGRMT_MNTH_AGG,60798831,15441845,45356986,WHERE CURRENT_IND <>120,N/A,,15441845,N/A,47631695,9071933,N/A,N/A,150
PVW_FCT_P3_PI_OPP_AGRMT_MNTH_AGG,6338057,7524181,-1186124,WHERE CURRENT_IND <>120,N/A,,7524181,N/A,16,3554053,N/A,N/A,150
PVW_FCT_P3_PI_RECUR_EFF_AGRMT_MNTH_AGG,622491581,158819489,463672092,WHERE CURRENT_IND <>120,N/A,,158819489,N/A,610171849,152780986,N/A,N/A,0
PVW_FCT_P3_CSTMR_FEE_CMPLNC_AGG,1541578868,539470888,1002107980,WHERE CURRENT_IND <>120,64908092,,539470888,-474562796,1476670776,507439721,,507439721,150
PVW_FCT_P3_CSTMR_FEE_CMPLNC,3258140893,13022560406,-9764419513,WHERE CURRENT_IND <>120,3258140893,,13022560406,-9764419513,,12955210997,,12955210997,150
