Table Name,nz Count,sf Count,Diff1,nz Filter,nz Count with Filter,sf FIlter,sf Count with Filter,Diff2,Dupes in NZ,Dupes in SF,Dupes in NZ with filter,Dupes in SF with,Max Audit ID
AR_ARBAL_ODS,864087049,2705877866,-1841790817,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,0,,2705877866,-2705877866,852089340,2671744324,,2671744324,N/A
AR_AVHST_ODS,278786169,0,278786169,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,0,,0,0,245601497,,,,N/A
AR_AVXTR,223119463,222206277,913186,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,222915408,,222206277,709131,12741915,12626752,12716799,12626752,
AR_AVXTR_ODS,203891659,0,203891659,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,0,,0,0,175391308,,,,N/A
AR_CSTMR,52030103,51967396,62707,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,51969935,,51967396,2539,18,,,,N/A
AR_ROSVC,22592967,0,22592967,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,21571326,,0,21571326,15665422,,14942208,,N/A
AR_SVDEF,112245,0,112245,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,111426,,0,111426,65266,,64632,,N/A
AR_SVHST_ODS,2726790356,3066435522,-339645166,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,0,,3066435522,-3066435522,2695038833,3020889402,,3020889402,
AR_TXHSTEX_ODS,2422860169,2433833468,-10973299,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,0,,2433833468,-2433833468,2403598726,2414531332,,2414531332,N/A
AR_TXHST_STG,2968067455,4061116842,-1093049387,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,2968067455,,4061116842,-1093049387,84860,768802,84860,768802,170
XREF_AR_CSTMR,52030103,51967396,62707,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,51969935,,51967396,2539,,,,,168
XREF_AR_SANAL,36526877,36517577,9300,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,36526877,,36517577,9300,,1,,1,170
AR_TXHST_ODS,1263394475,4061127168,-2797732693,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,0,,4061127168,-4061127168,1251013968,4022771356,,4022771356,N/A
HUB_CCY,285,274,11,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,274,,274,0,11,,,,168
HUB_CNTRY,246,246,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,246,,246,0,,,,,168
HUB_CNTY,3250,3250,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,3250,,3250,0,,,,,168
HUB_STATE,4715,4715,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,4715,,4715,0,,,,,168
HUB_AGRMT_CUST_CLASS,25,17,8,WHERE CURRENT_IND <>120 AND ACTV_FLG = 'Y' AND SOR_DEL_DTM IS  NULL,18,,17,1,,,,,168
HUB_ACCT_PERIOD,1828,1828,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,1828,,1828,0,,,,,168
HUB_TIMEZONE,27,27,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,27,,27,0,,,,,168
HUB_PARTY,39330974,39329982,992,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,39330974,,39329982,992,,,,,168
HUB_CCY_CONV_RATE_TYPE,16,16,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,16,,16,0,,,,,168
HUB_LOC,99433654,99435255,-1601,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,99433652,,99435255,-1603,2,2,,2,168
HUB_FINCL_LOB,443,363,80,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,363,,363,0,53,,,,168
HUB_OTHER_GEO,22,22,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,22,,22,0,,,,,168
HUB_WM_ORG,23436,23431,5,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,23431,,23431,0,,,,,168
HUB_FINCL_LOB_HIER,529,362,167,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,319,,362,-43,84,,,,168
HUB_ORG_BUS_UNIT,4361,4361,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,4361,,4361,0,,,,,168
HUB_CCY_CONV,3300,3300,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,0,,3300,-3300,,,,,168
HUB_XLAT_FINCL_LOB,181,151,30,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,131,,151,-20,50,,,,168
HUB_XLAT_MAS_LIB_OTHER_GEO,223,222,1,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,131,,222,-91,,,,,168
HUB_FINCL_BUS_UNIT,4004,4361,-357,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,4004,,4361,-357,,,,,168
HUB_AGRMT_VALUE_CHG_RSN,75,75,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,75,,75,0,,,,,
HUB_AGRMT_VALUE_CHG_RSN_TYPE,7,7,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,7,,7,0,,,,,
HUB_POST_CLLCTN_INBND_OUTBND_TYPE,3,3,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,3,,3,0,,,,,N/A
HUB_CUST_CLASS_TYPE,7,7,0,WHERE CURRENT_IND <>120,7,,7,0,,,,,32500009
HUB_NAICS,2931,2931,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,2931,,2931,0,,,,,N/A
HUB_SIC_TO_NAICS,1005,1005,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,1005,,1005,0,N/A,N/A,N/A,N/A,
HUB_AGRMT_PRC_RATE_RESTRICTN_TYPE,15,15,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,10,,15,-5,,,,,
HUB_GL_ACCT,6008,6008,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,6008,,6008,0,,,,,
HUB_SVC_FREQ,20,20,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,20,,20,0,,,,,
HUB_AGRMT_STS,14,14,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,14,,14,0,,,,,168
HUB_ENT_EQPMNT_TYPE,35,35,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,35,,35,0,,,,,172
HUB_ENT_VEHICLE_TYPE,22,22,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,22,,22,0,,,,,172
HUB_OPRTN_LOB,21,21,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,21,,21,0,,,,,168
HUB_ENT_BILL_ADJSTMT_TYPE,2,2,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,2,,2,0,N/A,N/A,N/A,N/A,172
HUB_ENT_MATRL_CLASS,48,48,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,48,,48,0,N/A,N/A,N/A,N/A,172
HUB_ENT_MATRL_STRM,10,10,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,10,,10,0,,,,,172
HUB_ENT_PROD_TYPE,15,15,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,15,,15,0,N/A,N/A,N/A,N/A,172
HUB_ENT_SRCHRG_TYPE,6,6,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,6,,6,0,N/A,N/A,N/A,N/A,172
HUB_ENT_SVC_CTGRY,7,7,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,7,,7,0,N/A,N/A,N/A,N/A,172
HUB_SRC_SYS_SVC,151921,138916,13005,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,151921,,138916,13005,,,,,172
HUB_SVC_LNK_SVC_HIST,213918,27306,186612,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,213523,,27306,186217,15647,,15584,,164
HUB_ENT_EQPMNT,835,835,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,835,,835,0,,,,,172
HUB_ENT_BILL_ADJSTMT,22,22,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,22,,22,0,N/A,N/A,N/A,N/A,172
HUB_ENT_MATRL,240,240,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,240,,240,0,,,,,172
HUB_ENT_SRCHRG,203,203,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,203,,203,0,,,,,172
HUB_ENT_SVC_SUB_CTGRY,128,129,-1,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,128,,129,-1,N/A,N/A,N/A,N/A,172
HUB_ENT_PROD,226,226,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,226,,226,0,,,,,172
HUB_UOM_CTGRY,13,13,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,13,,13,0,,,,,172
HUB_INVC,971787980,807585552,164202428,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL AND SRC_SYS_GUID = SQLTOOLKIT..HASH8('MASCDC'),535493251,,807585552,-272092301,423966296,,,,172
HUB_UOM,28,28,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,28,,28,0,,,,,172
HUB_ENT_CTLG,14464,14456,8,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,14464,,14456,8,,,,,172
HUB_SVC_PRC_HIST,7267812,923386,6344426,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,5902507,,923386,4979121,,2,,2,172
HUB_AGRMT_PRC_RATE_RESTRICTN,50849420,51967396,-1117976,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,50801743,,51967396,-1165653,,,,,172
HUB_XLAT_BILL_CTLG,59963,39675,20288,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,59960,,39675,20285,3,,,,172
HUB_AGRMT_VALUE_CHG_HIST,464261569,418434593,45826976,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL AND SRC_SYS_GUID = SQLTOOLKIT..HASH8('MASCDC'),330549489,,418434593,-87885104,34,10,,10,172
HUB_INVC_LN_ITEM_DTL,4336826100,3105189926,1231636174,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL AND SRC_SYS_GUID = SQLTOOLKIT..HASH8('MASCDC'),2984413351,,3105189926,-120776575,912602425,,223,,172
HUB_AGRMT_LN_ITEM_VALUE_CHG_HIST,2888525094,2891494145,-2969051,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL AND SRC_SYS_GUID = SQLTOOLKIT..HASH8('MASCDC'),2885637969,,2891494145,-5856176,1068565,,,,172
XREF_AR_CSTMR,52030103,51967396,62707,,52030103,,51967396,62707,,,,,168
