Table Name,nz Count,sf Count,Diff1,nz Filter,nz Count with Filter,sf FIlter,sf Count with Filter,Diff2,Dupes in NZ,Dupes in SF,Dupes in NZ with filter,Dupes in SF with,Max Audit ID
AR_ARBAL_ODS,864022053,2711544696,-1847522643,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,0,,2711544696,-2711544696,851998635,2677300136,,2677300136,N/A
AR_AVHST_ODS,382874167,0,382874167,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,0,,0,0,332351302,,,,N/A
AR_AVHST,382936339,382159899,776440,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,382729561,,382159899,569662,N/A,N/A,N/A,N/A,202
AR_SVHST,3109784516,3094667488,15117028,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,3107279365,,3094667488,12611877,N/A,N/A,N/A,N/A,202
AR_AVXTR,226634269,222792269,3842000,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,226430214,,222792269,3637945,12916974,12690245,12892368,12690245,202
AR_AVXTR_ODS,226328387,0,226328387,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,0,,0,0,192544668,,,,N/A
AR_CSTMR,52265638,54507915,-2242277,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,52205470,,54507915,-2302445,18,2039637,,2039637,N/A
AR_ROSVC,22592967,0,22592967,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,21571326,,0,21571326,15665422,,14942208,,N/A
AR_SVDEF,112330,0,112330,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,111511,,0,111511,65145,,64511,,N/A
AR_SVHST_ODS,3101259386,3101200365,59021,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,0,,3101200365,-3101200365,3055467220,3055408281,,3055408281,
AR_TXHSTEX_ODS,2443281850,2443240513,41337,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,0,,2443240513,-2443240513,2423899121,2423857962,,2423857962,N/A
XREF_AR_CSTMR,52265638,52205006,60632,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,52205470,,52205006,464,,,,,200
MAS_SVC_PRC,982943,910064,72879,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,600669,,910064,-309395,N/A,N/A,N/A,N/A,204
XREF_AR_CSTATR,137873957,134567745,3306212,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,134512761,,134567745,-54984,N/A,N/A,N/A,N/A,202
XREF_AR_SANAL,36739614,36732108,7506,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,36739614,,36732108,7506,,1,,1,202
HUB_CCY,285,274,11,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,274,,274,0,11,,,,200
HUB_CNTRY,246,247,-1,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,246,,247,-1,,,,,200
HUB_CNTY,3250,3250,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,3250,,3250,0,,,,,200
HUB_STATE,4715,4715,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,4715,,4715,0,,5,,5,200
HUB_AGRMT_CUST_CLASS,25,17,8,WHERE CURRENT_IND <>120 AND ACTV_FLG = 'Y' AND SOR_DEL_DTM IS  NULL,18,,17,1,,,,,200
HUB_ACCT_PERIOD,1828,1828,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,1828,,1828,0,,,,,200
HUB_TIMEZONE,27,27,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,27,,27,0,,,,,200
HUB_PARTY,39549285,39554214,-4929,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,39549285,,39554214,-4929,,,,,200
HUB_CCY_CONV_RATE_TYPE,16,16,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,16,,16,0,,,,,200
HUB_LOC,100052522,100063785,-11263,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,100052520,,100063785,-11265,2,2,,2,200
HUB_FINCL_LOB,443,363,80,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,363,,363,0,53,,,,200
HUB_OTHER_GEO,22,22,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,22,,22,0,,,,,200
HUB_WM_ORG,23444,23439,5,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,23439,,23439,0,,,,,200
HUB_FINCL_LOB_HIER,529,362,167,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,319,,362,-43,84,,,,200
HUB_ORG_BUS_UNIT,4362,4362,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,4362,,4362,0,,,,,200
HUB_CCY_CONV,3308,3308,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,0,,3308,-3308,,,,,200
HUB_XLAT_FINCL_LOB,181,151,30,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,131,,151,-20,50,,,,200
HUB_XLAT_MAS_LIB_OTHER_GEO,223,223,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,131,,223,-92,,1,,1,200
