Table Name,nz Count,sf Count,Diff1,nz Filter,nz Count with Filter,sf FIlter,sf Count with Filter,Diff2,Dupes in NZ,Dupes in SF,Dupes in NZ with filter,Dupes in SF with,Max Audit ID
AR_ARBAL_ODS,876180902,2729276205,-1853095303,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,0,,2729276205,-2729276205,864104192,2694753842,,2694753842,N/A
AR_AVHST_ODS,388394706,0,388394706,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,0,,0,0,337493324,,,,N/A
AR_AVHST,388535012,385725518,2809494,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,388328234,,385725518,2602716,N/A,N/A,N/A,N/A,332
AR_SVHST,3288929957,3286869594,2060363,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,3286424806,,3286869594,-444788,N/A,N/A,N/A,N/A,332
AR_AVXTR,232232947,228332503,3900444,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,232028892,,228332503,3696389,12957917,12728982,12933311,12728982,332
AR_AVXTR_ODS,231848862,0,231848862,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,0,,0,0,197685411,,,,N/A
AR_CSTMR,52651206,107272974,-54621768,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,52591038,,107272974,-54681936,18,54145102,,54145102,N/A
AR_ROSVC,22592967,0,22592967,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,21571326,,0,21571326,15665422,,14942208,,N/A
AR_SVDEF,113068,0,113068,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,112250,,0,112250,64769,,64139,,N/A
AR_SVHST_ODS,3279487867,3269998672,9489195,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,0,,3269998672,-3269998672,3233317396,3223987779,,3223987779,
AR_TXHSTEX_ODS,2475591705,2467014674,8577031,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,0,,2467014674,-2467014674,2456047310,2447541220,,2447541220,N/A
XREF_AR_CSTMR,52651206,52586074,65132,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,52591038,,52586074,4964,,,,,330
MAS_SVC_PRC,984911,956610,28301,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,602156,,956610,-354454,N/A,N/A,N/A,N/A,334
XREF_AR_CSTATR,139057474,135572574,3484900,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,135634361,,135572574,61787,N/A,N/A,N/A,N/A,332
XREF_AR_SANAL,37109377,37014183,95194,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,37109377,,37014183,95194,,1,,1,332
HUB_CCY,285,274,11,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,274,,274,0,11,,,,330
HUB_CNTRY,246,247,-1,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,246,,247,-1,,,,,330
HUB_CNTY,3250,3250,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,3250,,3250,0,,,,,330
HUB_STATE,4715,4715,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,4715,,4715,0,,5,,5,330
HUB_AGRMT_CUST_CLASS,25,16,9,WHERE CURRENT_IND <>120 AND ACTV_FLG = 'Y' AND SOR_DEL_DTM IS  NULL,17,,16,1,,,,,330
HUB_ACCT_PERIOD,1828,1828,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,1828,,1828,0,,,,,330
HUB_TIMEZONE,27,27,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,27,,27,0,,,,,330
HUB_PARTY,39884092,39880607,3485,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,39884092,,39880607,3485,,,,,330
HUB_CCY_CONV_RATE_TYPE,16,16,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,16,,16,0,,,,,330
HUB_LOC,101032557,101023933,8624,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,101032555,,101023933,8622,2,2,,2,330
HUB_FINCL_LOB,443,363,80,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,363,,363,0,53,,,,330
HUB_OTHER_GEO,22,22,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,22,,22,0,,,,,330
HUB_WM_ORG,23454,23449,5,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,23449,,23449,0,,,,,330
HUB_FINCL_LOB_HIER,529,362,167,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,319,,362,-43,84,,,,330
HUB_ORG_BUS_UNIT,4363,4363,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,4363,,4363,0,,,,,330
HUB_CCY_CONV,3312,3308,4,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL,0,,3308,-3308,,,,,330
