Table Name,nz Count,sf Count,Diff1,nz Filter,nz Count with Filter,sf FIlter,sf Count with Filter,Diff2,Dupes in NZ,Dupes in SF,Dupes in NZ with filter,Dupes in SF with,Max Audit ID
AR_ARBAL_ODS,876180902,2729276205,-1853095303,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,0,,2729276205,-2729276205,864104192,2694753842,,2694753842,N/A
AR_AVHST_ODS,388394706,0,388394706,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,0,,0,0,337493324,,,,N/A
AR_AVHST,388535012,385725518,2809494,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,388328234,,385725518,2602716,N/A,N/A,N/A,N/A,332
AR_SVHST,3288929957,3286869594,2060363,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,3286424806,,3286869594,-444788,N/A,N/A,N/A,N/A,332
AR_AVXTR,232232947,228332503,3900444,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,232028892,,228332503,3696389,12957917,12728982,12933311,12728982,332
AR_AVXTR_ODS,231848862,0,231848862,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,0,,0,0,197685411,,,,N/A
AR_CSTMR,52646701,107272974,-54626273,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,52586533,,107272974,-54686441,18,54145102,,54145102,N/A
AR_ROSVC,22592967,0,22592967,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,21571326,,0,21571326,15665422,,14942208,,N/A
AR_SVDEF,113068,0,113068,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,112250,,0,112250,64769,,64139,,N/A
AR_SVHST_ODS,3279487867,3269998672,9489195,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,0,,3269998672,-3269998672,3233317396,3223987779,,3223987779,
AR_TXHSTEX_ODS,2475591705,2467014674,8577031,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,0,,2467014674,-2467014674,2456047310,2447541220,,2447541220,N/A
XREF_AR_CSTMR,52646701,52586074,60627,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,52586533,,52586074,459,,,,,330
MAS_SVC_PRC,984911,956610,28301,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,602156,,956610,-354454,N/A,N/A,N/A,N/A,334
XREF_AR_CSTATR,139025253,135572574,3452679,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,135603709,,135572574,31135,N/A,N/A,N/A,N/A,332
XREF_AR_SANAL,37105943,37014183,91760,WHERE CURRENT_IND <>120 AND DELETE_DTM IS  NULL,37105943,,37014183,91760,,1,,1,332
